cluster,rank,cycle_index,dist_to_centroid,session_id,cluster_name,device_count,duration_sec,has_video,id,notes,pattern,pattern_category,sample_count,sample_rate_hz_approx,subject,tags,tempo,timestamp
0,1,1841,17.374170303344727,20260316_171550_experimental_jo,,,,,,,,,,,,,,
0,2,1958,17.791662216186523,20260405_173949_experimental_progression,,,,,,,,,,,,,,
0,3,2258,18.00347328186035,20260405_185509_experimental_bass-walk-down,,,,,,,,,,,,,,
0,4,1953,18.205856323242188,20260405_173949_experimental_progression,,,,,,,,,,,,,,
0,5,2544,18.400442123413086,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
1,1,2375,17.87917137145996,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
1,2,2327,18.168062210083008,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
1,3,2332,18.28452491760254,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
1,4,959,18.4207763671875,20260303_174948_overhand_oli,,2.0,105.978,True,5513d84e,,overhand,Foundational,10440.0,98.51101171941347,oli,['bbc'],mixed,20260303_174948
1,5,2581,18.507009506225586,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
2,1,2193,18.369462966918945,20260405_185331_experimental_birth-death,,,,,,,,,,,,,,
2,2,2300,18.505374908447266,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
2,3,2409,18.59604835510254,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
2,4,2509,18.72520637512207,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
2,5,2578,18.851430892944336,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
3,1,980,17.2292423248291,20260303_174948_overhand_oli,,2.0,105.978,True,5513d84e,,overhand,Foundational,10440.0,98.51101171941347,oli,['bbc'],mixed,20260303_174948
3,2,1030,17.267051696777344,20260303_175338_overhand_jo,,2.0,163.681,True,a16ee463,,overhand,Foundational,16122.0,98.49646568630445,jo,['bbc'],mixed,20260303_175338
3,3,456,17.94855308532715,20260303_171447_experimental_oli,,2.0,102.753,True,52556fca,,experimental,Other,10121.0,98.49834068105068,oli,['bbc'],mixed,20260303_171447
3,4,930,18.31097984313965,20260303_174948_overhand_oli,,2.0,105.978,True,5513d84e,,overhand,Foundational,10440.0,98.51101171941347,oli,['bbc'],mixed,20260303_174948
3,5,950,18.40304183959961,20260303_174948_overhand_oli,,2.0,105.978,True,5513d84e,,overhand,Foundational,10440.0,98.51101171941347,oli,['bbc'],mixed,20260303_174948
4,1,2281,17.198110580444336,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
4,2,1539,17.670333862304688,20260315_155448_experimental_jo,,,,,,,,,,,,,,
4,3,2515,18.097820281982422,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
4,4,1550,18.211381912231445,20260315_155448_experimental_jo,,,,,,,,,,,,,,
4,5,2292,18.344518661499023,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
5,1,1261,19.319623947143555,20260303_180712_sneak_underhand_jo,,2.0,109.032,True,e81fbbf6,,sneak_underhand,Foundational,10740.0,98.5031917235307,jo,['bbc'],mixed,20260303_180712
5,2,2391,19.466466903686523,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
5,3,1263,19.505430221557617,20260303_180712_sneak_underhand_jo,,2.0,109.032,True,e81fbbf6,,sneak_underhand,Foundational,10740.0,98.5031917235307,jo,['bbc'],mixed,20260303_180712
5,4,2459,19.57220458984375,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
5,5,822,19.719804763793945,20260303_173008_experimental_oli,,2.0,58.835,True,1491e440,,experimental,Other,5793.0,98.46179994900994,oli,['bbc'],mixed,20260303_173008
6,1,2344,16.90159797668457,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
6,2,1504,17.212087631225586,20260315_155448_experimental_jo,,,,,,,,,,,,,,
6,3,1625,17.322975158691406,20260315_182722_experimental_jo,,,,,,,,,,,,,,
6,4,2457,17.411849975585938,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
6,5,2450,17.48007583618164,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
7,1,821,14.851633071899414,20260303_173008_experimental_oli,,2.0,58.835,True,1491e440,,experimental,Other,5793.0,98.46179994900994,oli,['bbc'],mixed,20260303_173008
7,2,2311,18.95673370361328,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
7,3,862,19.45529556274414,20260303_174607_underhand_jo,,2.0,94.529,True,b077ba60,,underhand,Foundational,9312.0,98.50945212580267,jo,['bbc'],mixed,20260303_174607
7,4,1856,19.745420455932617,20260316_171550_experimental_jo,,,,,,,,,,,,,,
7,5,1849,19.762165069580078,20260316_171550_experimental_jo,,,,,,,,,,,,,,
8,1,872,17.998802185058594,20260303_174607_underhand_jo,,2.0,94.529,True,b077ba60,,underhand,Foundational,9312.0,98.50945212580267,jo,['bbc'],mixed,20260303_174607
8,2,1499,18.104103088378906,20260315_155448_experimental_jo,,,,,,,,,,,,,,
8,3,1444,18.23909568786621,20260315_150630_experimental_jo,,,,,,,,,,,,,,
8,4,2513,18.42323112487793,20260406_212408_experimental_jo div,,,,,,,,,,,,,,
8,5,180,18.458599090576172,20260302_100832_underhand_default,,2.0,102.596,True,b29d03b7,,underhand,Foundational,10105.0,98.49311864010292,default,[],mixed,20260302_100832
9,1,159,16.214109420776367,20260302_100832_underhand_default,,2.0,102.596,True,b29d03b7,,underhand,Foundational,10105.0,98.49311864010292,default,[],mixed,20260302_100832
9,2,259,16.552871704101562,20260302_171509_experimental_under-over-exp,,2.0,131.449,True,2366988f,,experimental,Other,12947.0,98.4944731416747,under-over-exp,[],mixed,20260302_171509
9,3,210,16.745447158813477,20260302_171509_experimental_under-over-exp,,2.0,131.449,True,2366988f,,experimental,Other,12947.0,98.4944731416747,under-over-exp,[],mixed,20260302_171509
9,4,2301,17.302452087402344,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
9,5,226,17.324113845825195,20260302_171509_experimental_under-over-exp,,2.0,131.449,True,2366988f,,experimental,Other,12947.0,98.4944731416747,under-over-exp,[],mixed,20260302_171509
10,1,2424,18.823116302490234,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
10,2,1834,18.86809730529785,20260316_171550_experimental_jo,,,,,,,,,,,,,,
10,3,2431,18.870763778686523,20260406_211811_experimental_jo div,,,,,,,,,,,,,,
10,4,2260,18.90618324279785,20260405_185509_experimental_bass-walk-down,,,,,,,,,,,,,,
10,5,2277,18.938739776611328,20260405_185509_experimental_bass-walk-down,,,,,,,,,,,,,,
11,1,1924,14.332866668701172,20260316_172228_experimental_jo,,,,,,,,,,,,,,
11,2,1043,17.947772979736328,20260303_175338_overhand_jo,,2.0,163.681,True,a16ee463,,overhand,Foundational,16122.0,98.49646568630445,jo,['bbc'],mixed,20260303_175338
11,3,1042,18.80194091796875,20260303_175338_overhand_jo,,2.0,163.681,True,a16ee463,,overhand,Foundational,16122.0,98.49646568630445,jo,['bbc'],mixed,20260303_175338
11,4,108,18.93260955810547,20260121_160602_unnamed,,,,,,,,,,,,,,
11,5,1039,19.08773422241211,20260303_175338_overhand_jo,,2.0,163.681,True,a16ee463,,overhand,Foundational,16122.0,98.49646568630445,jo,['bbc'],mixed,20260303_175338
