session_id,annotation_json,segments,label_events,processed_device0,processed_device1,device0_exists,device1_exists
20260315_150630_experimental_jo,data/raw/new-labeled-sessions/20260315_150630_experimental_jo/labels.json,99,99,data/processed/20260315_150630_experimental_jo_device0_processed.csv,data/processed/20260315_150630_experimental_jo_device1_processed.csv,TRUE,TRUE
20260315_150630_experimental_jo,data/raw/new-labeled-sessions/20260315_150630_experimental_jo/labels_corrected.json,324,0,data/processed/20260315_150630_experimental_jo_device0_processed.csv,data/processed/20260315_150630_experimental_jo_device1_processed.csv,TRUE,TRUE
20260315_155448_experimental_jo,data/raw/new-labeled-sessions/20260315_155448_experimental_jo/labels.json,177,177,data/processed/20260315_155448_experimental_jo_device0_processed.csv,data/processed/20260315_155448_experimental_jo_device1_processed.csv,TRUE,TRUE
20260315_182722_experimental_jo,data/raw/new-labeled-sessions/20260315_182722_experimental_jo/labels.json,126,126,data/processed/20260315_182722_experimental_jo_device0_processed.csv,data/processed/20260315_182722_experimental_jo_device1_processed.csv,TRUE,TRUE
20260316_171550_experimental_jo,data/raw/new-labeled-sessions/20260316_171550_experimental_jo/labels.json,158,158,data/processed/20260316_171550_experimental_jo_device0_processed.csv,data/processed/20260316_171550_experimental_jo_device1_processed.csv,TRUE,TRUE
20260316_171550_experimental_jo,data/raw/new-labeled-sessions/20260316_171550_experimental_jo/labels_corrected.json,292,0,data/processed/20260316_171550_experimental_jo_device0_processed.csv,data/processed/20260316_171550_experimental_jo_device1_processed.csv,TRUE,TRUE
20260316_172228_experimental_jo,data/raw/new-labeled-sessions/20260316_172228_experimental_jo/labels.json,51,51,data/processed/20260316_172228_experimental_jo_device0_processed.csv,data/processed/20260316_172228_experimental_jo_device1_processed.csv,TRUE,TRUE
20260405_173949_experimental_progression,data/raw/new-labeled-sessions/20260405_173949_experimental_progression/labels_corrected.json,169,0,data/processed/20260405_173949_experimental_progression_device0_processed.csv,data/processed/20260405_173949_experimental_progression_device1_processed.csv,TRUE,TRUE
20260405_184437_experimental_bass-walk-down,data/raw/new-labeled-sessions/20260405_184437_experimental_bass-walk-down/labels_corrected.json,158,0,data/processed/20260405_184437_experimental_bass-walk-down_device0_processed.csv,data/processed/20260405_184437_experimental_bass-walk-down_device1_processed.csv,TRUE,TRUE
20260405_184729_experimental_pachelbel,data/raw/new-labeled-sessions/20260405_184729_experimental_pachelbel/labels_corrected.json,160,0,data/processed/20260405_184729_experimental_pachelbel_device0_processed.csv,data/processed/20260405_184729_experimental_pachelbel_device1_processed.csv,TRUE,TRUE
20260405_184905_experimental_pachelbel,data/raw/new-labeled-sessions/20260405_184905_experimental_pachelbel/labels_corrected.json,121,0,data/processed/20260405_184905_experimental_pachelbel_device0_processed.csv,data/processed/20260405_184905_experimental_pachelbel_device1_processed.csv,TRUE,TRUE
20260405_185331_experimental_birth-death,data/raw/new-labeled-sessions/20260405_185331_experimental_birth-death/labels_corrected.json,183,0,data/processed/20260405_185331_experimental_birth-death_device0_processed.csv,data/processed/20260405_185331_experimental_birth-death_device1_processed.csv,TRUE,TRUE
20260405_185509_experimental_bass-walk-down,data/raw/new-labeled-sessions/20260405_185509_experimental_bass-walk-down/labels_corrected.json,98,0,data/processed/20260405_185509_experimental_bass-walk-down_device0_processed.csv,data/processed/20260405_185509_experimental_bass-walk-down_device1_processed.csv,TRUE,TRUE
20260406_212408_experimental_jo div,data/raw/new-labeled-sessions/20260406_212408_experimental_jo div/labels_corrected.json,598,0,data/processed/20260406_212408_experimental_jo div_device0_processed.csv,data/processed/20260406_212408_experimental_jo div_device1_processed.csv,TRUE,TRUE
